Date,Open,High,Low,Close,Adj Close,Volume
26-11-2003,59.400002,59.400002,59.02,59.169998,45.184406,165300
28-11-2003,60.099998,60.380001,59.5,59.57,45.489861,73200
01-12-2003,61.099998,61.299999,61,61.139999,46.688774,252100
02-12-2003,62.299999,63.189999,62.299999,62.470001,47.704426,263100
03-12-2003,62.599998,63.389999,62.400002,62.549999,47.765503,145100
04-12-2003,63.450001,64,63.130001,63.939999,48.826958,120500
05-12-2003,64,64,63.040001,63.080002,48.170231,104600
08-12-2003,63.450001,63.91,63.25,63.75,48.681866,84400
09-12-2003,64.279999,64.949997,63.700001,63.759998,48.689491,175800
10-12-2003,63.799999,64.440002,63.610001,63.860001,48.765862,128000
11-12-2003,65,66.349998,65,66.160004,50.522232,190900
12-12-2003,66.080002,66.089996,65.5,65.839996,50.277866,68700
15-12-2003,67.25,67.68,66,66.019997,50.415318,140000
16-12-2003,66.010002,66.650002,65.910004,66.360001,50.674957,124900
17-12-2003,64.400002,65.199997,64.400002,64.949997,49.598228,112300
18-12-2003,67.099998,68.139999,66.839996,67.900002,51.85096,137400
19-12-2003,68.099998,68.599998,68.010002,68.040001,51.957878,101100
22-12-2003,68.25,69.129997,68.25,68.949997,52.652779,82900
23-12-2003,69.199997,69.75,68.75,69.050003,52.729149,131100
24-12-2003,68.800003,68.900002,68.25,68.900002,52.614597,36400
26-12-2003,67.5,67.699997,67.099998,67.25,51.354603,65400
29-12-2003,67.550003,68.099998,67.529999,68.099998,52.003674,116200
30-12-2003,68.25,68.879997,67.919998,68.879997,52.599327,78900
31-12-2003,68,68.830002,68,68.75,52.500057,54600
02-01-2004,69,69.5,68.849998,68.959999,52.660423,62800
05-01-2004,72.169998,72.290001,70.25,72.290001,55.203335,147200
06-01-2004,70.5,71.279999,70.019997,70.779999,54.050236,164500
07-01-2004,70.550003,70.550003,69.510002,69.650002,53.187325,290100
08-01-2004,68.839996,69.050003,68.510002,68.800003,52.538231,149600
09-01-2004,69.400002,69.629997,69.040001,69.410004,53.004063,79700
12-01-2004,69.269997,69.559998,68.900002,69.480003,53.057503,102300
13-01-2004,69.199997,69.199997,68.510002,68.519997,52.324409,78900
14-01-2004,68.980003,69.589996,68.849998,69.5,53.072781,55700
15-01-2004,69,69,68.699997,68.75,52.500057,44200
16-01-2004,68.550003,69.150002,68.5,68.949997,52.652779,106900
20-01-2004,69.879997,69.879997,69.349998,69.730003,53.248428,125000
21-01-2004,68.550003,69.330002,68.300003,68.870003,52.591705,91600
22-01-2004,69.099998,69.900002,69.099998,69.75,53.263691,156300
23-01-2004,69.650002,69.800003,68.769997,68.769997,52.515316,92400
26-01-2004,68.889999,68.889999,68.5,68.879997,52.599327,74900
27-01-2004,67.650002,67.75,67,67.059998,51.209503,194200
28-01-2004,68.349998,68.589996,67.599998,67.599998,51.621868,111900
29-01-2004,67.349998,67.540001,66.279999,66.800003,51.010971,105300
30-01-2004,66.050003,66.650002,65.800003,66.400002,50.705513,92000
02-02-2004,67.849998,68.190002,67.449997,67.75,51.736416,88600
03-02-2004,67.5,67.839996,67.220001,67.629997,51.644779,58400
04-02-2004,64.75,65.07,64.519997,64.650002,49.369137,230200
05-02-2004,67,67.900002,66.959999,67.529999,51.568398,149200
06-02-2004,67.550003,69.239998,67.540001,68.699997,52.461864,200600
09-02-2004,67.019997,68.720001,66.690002,66.739998,50.965141,174500
10-02-2004,67.400002,67.610001,67,67.599998,51.621868,95700
11-02-2004,67.599998,68.160004,67.309998,68,51.927338,96400
12-02-2004,66.599998,66.790001,66.5,66.550003,50.820049,160000
13-02-2004,67.900002,68.239998,67.699997,68,51.927338,154700
17-02-2004,69,69.669998,69,69.330002,52.942963,125900
18-02-2004,69.400002,69.480003,68.800003,69.150002,52.8055,89900
19-02-2004,69.449997,69.699997,68.849998,68.860001,52.584045,86000
20-02-2004,68.779999,69.400002,68.260002,69.059998,52.736778,187100
23-02-2004,69.849998,69.989998,69.419998,69.419998,53.011684,69800
24-02-2004,68.349998,68.370003,67.589996,68.199997,52.080051,123300
25-02-2004,67.599998,67.940002,67.239998,67.610001,51.629505,101400
26-02-2004,67.860001,68.489998,67.860001,68.199997,52.080051,53000
27-02-2004,69,69.400002,68.870003,69.129997,52.790215,72100
01-03-2004,70.599998,70.730003,70.050003,70.699997,53.98914,217500
02-03-2004,70.599998,71.379997,70.599998,71.120003,54.309864,119400
